gender,customer_type,travel_type,flight_distance,inflight_wifi_serv,time_conv,online_booking_conv,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_ent,on-board_serv,leg_room_serv,baggage_handling,checkin_serv,inflight_serv,cleanliness,depart_delay_in_mins,arr_delay_in_mins,satisfaction,age_group
1,0,1,0.11578947368421053,0.6000000000000001,0.8,0.6000000000000001,0.2,1.0,0.6000000000000001,1.0,1.0,0.8,0.6000000000000001,0.75,0.8,1.0,1.0,0.5681818181818182,0.4090909090909091,0,0.0
0,0,1,0.0747638326585695,0.4,0.8,0.4,0.4,0.2,0.4,0.2,0.2,0.2,0.4,1.0,1.0,1.0,0.2,0.0,0.0,0,0.0
0,0,0,0.07665317139001349,0.8,0.8,0.8,0.8,0.4,0.4,0.2,0.8,0.8,0.8,0.75,0.4,0.8,0.4,0.0,0.18181818181818182,1,0.5
1,0,1,0.140080971659919,0.8,0.6000000000000001,0.8,0.4,0.4,0.8,0.4,0.4,1.0,0.2,0.75,0.6000000000000001,0.8,0.4,0.5227272727272727,0.4545454545454546,0,0.5
0,0,0,0.0340080971659919,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6000000000000001,0.6000000000000001,0.0,0.2,0.8,0.8,0.0,0.0,1,0.5
1,0,0,0.04696356275303643,0.6000000000000001,0.4,0.4,0.4,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4,1.0,0.0,0.2,0.4,0.6000000000000001,1.0,1.0,0,0.25
1,0,1,0.13090418353576247,0.2,0.8,0.2,0.4,0.4,0.2,0.4,0.4,0.8,0.8,1.0,1.0,1.0,0.4,0.0,1.0,0,1.0
1,0,0,0.10067476383265855,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.4,0.25,0.8,0.4,0.8,0.38636363636363635,0.06818181818181818,1,0.25
0,0,1,0.12658569500674763,0.6000000000000001,1.0,0.6000000000000001,0.4,0.6000000000000001,0.8,1.0,1.0,1.0,0.6000000000000001,1.0,0.8,1.0,1.0,0.0,0.0,0,0.75
0,0,0,0.06207827260458839,1.0,0.8,0.8,0.8,0.8,0.6000000000000001,0.2,1.0,1.0,1.0,1.0,0.2,1.0,0.2,0.0,0.0,1,0.5
0,0,1,0.07179487179487179,0.2,1.0,0.2,0.6000000000000001,1.0,0.2,1.0,1.0,1.0,0.2,0.0,0.6000000000000001,0.8,1.0,1.0,1.0,0,0.0
0,1,0,0.28313090418353576,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.8,0.2,0.5,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,0.0,0,0.25
0,0,0,0.1468286099865047,0.2,0.8,0.8,0.8,0.4,0.6000000000000001,0.8,0.4,0.4,0.2,0.25,0.4,0.4,0.8,0.3181818181818182,0.36363636363636365,0,0.75
0,0,0,0.17516869095816462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.8,1.0,0.2,0.6000000000000001,1.0,0.2727272727272727,0.6136363636363636,1,0.25
1,0,0,0.09095816464237516,1.0,0.2,0.4,0.2,0.8,1.0,0.8,0.8,1.0,1.0,0.25,0.8,0.6000000000000001,0.8,0.0,0.0,1,0.5
1,0,1,0.3824561403508772,0.4,0.6000000000000001,0.4,1.0,0.8,0.4,0.8,0.8,0.8,0.6000000000000001,0.75,0.6000000000000001,0.2,0.8,0.4545454545454546,0.09090909090909091,0,0.5
